DATE,12/17/2019,12/17/2019,12/17/2019,12/17/2019
TIME,13:08:32,13:07:44,13:06:19,13:04:52
Model Number,MS-730,MS-730,MS-730,MS-730
Serial Number,21151,21151,21151,21151
Calibration Value,Available,Available,Available,Available
Measurement mode,Single,Single,Single,Single
Reflector Name,SRS-99-010.txt,SRS-99-010.txt,SRS-99-010.txt,SRS-99-010.txt
Reflector Serial Number,99AA03-0816-6606,99AA03-0816-6606,99AA03-0816-6606,99AA03-0816-6606
Exposed Time Reflector[msec],-,-,-,-
Exposed Time Sample[msec],"10,000","10,000","10,000","10,000"
Comment,,,,
FOV[degee],45,45,45,45
LON[degree],-,-,-,-
LAT[degree],-,-,-,-
ALT[degree],-,-,-,-
Temperature[degree C],24.9,24.8,24.3,23.6
Irradiance[W/m^2],0.496496,0.723683,0.150902,0.537433
Photon Flux density(umol/m^2/s),3.00114,3.92676,1.02276,2.84532
PAR[W/m^2],0.151734,0.40507,0.015631,0.346485
PPFD[umol/m^2/s],0.660888,1.83648,0.0754382,1.5895
Illuminance[lx],37.07,105.24,6.3,90.63
NDVI,-,-,-,-
RREDFrequencyBegin[nm],-,-,-,-
RREDFrequencyEnd[nm],-,-,-,-
RNIRFrequencyBegin[nm],-,-,-,-
RNIRFrequencyEnd[nm],-,-,-,-
Free Wavelength Range 1 name,Free Wavelength Range No.1,Free Wavelength Range No.1,Free Wavelength Range No.1,Free Wavelength Range No.1
Free Wavelength Range 1 Frequency Begin[nm],350,350,350,350
Free Wavelength Range 1 Frequency End[nm],1050,1050,1050,1050
Free Wavelength Range 1[W/m^2],0.496496,0.723683,0.150902,0.537433
Free Wavelength Range 1[umol/m^2/s],3.00114,3.92676,1.02276,2.84532
Free Wavelength Range 2 name,Free Wavelength Range No.2,Free Wavelength Range No.2,Free Wavelength Range No.2,Free Wavelength Range No.2
Free Wavelength Range 2 Frequency Begin[nm],350,350,350,350
Free Wavelength Range 2 Frequency End[nm],1050,1050,1050,1050
Free Wavelength Range 2[W/m^2],0.496496,0.723683,0.150902,0.537433
Free Wavelength Range 2[umol/m^2/s],3.00114,3.92676,1.02276,2.84532
Free Wavelength Range 3 name,Free Wavelength Range No.3,Free Wavelength Range No.3,Free Wavelength Range No.3,Free Wavelength Range No.3
Free Wavelength Range 3 Frequency Begin[nm],350,350,350,350
Free Wavelength Range 3 Frequency End[nm],1050,1050,1050,1050
Free Wavelength Range 3[W/m^2],0.496496,0.723683,0.150902,0.537433
Free Wavelength Range 3[umol/m^2/s],3.00114,3.92676,1.02276,2.84532
Free Wavelength Range 4 name,Free Wavelength Range No.4,Free Wavelength Range No.4,Free Wavelength Range No.4,Free Wavelength Range No.4
Free Wavelength Range 4 Frequency Begin[nm],350,350,350,350
Free Wavelength Range 4 Frequency End[nm],1050,1050,1050,1050
Free Wavelength Range 4[W/m^2],0.496496,0.723683,0.150902,0.537433
Free Wavelength Range 4[umol/m^2/s],3.00114,3.92676,1.02276,2.84532
Wavelength Interval,Original,Original,Original,Original
Wavelength[nm],Spectral Irradiance[W/m^2/nm],Spectral Irradiance[W/m^2/nm],Spectral Irradiance[W/m^2/nm],Spectral Irradiance[W/m^2/nm]
294,0,0,0,0
294.34,0,0,0,0
294.68,0,0,0,0
295.02,"nodata","nodata",0,0
295.37,0,0,NA,0
295.71,0,0,0,0
296.05,NA,0,,0
296.39,0,0,0,0
296.73,0,0,0,
297.08,0,0,0,0
297.42,0,0,0,0
297.76,0,0,0,0
298.1,0,0,0,0
298.44,0,0,0,0
298.79,0,0,0,0
299.13,0,0,0,0
299.47,0,0,0,0
299.81,0,0,0,0
300.15,0,0,0,0
300.5,0,0,0,0
300.84,0,0,0,0
301.18,0,0,0,0
301.52,0,0,0,0
301.86,0,0,0,0
302.2,0,0,0,0
302.55,0,0,0,0
302.89,0,0,0,0
303.23,0,0,0,0
303.57,0,0,0,0
303.91,0,0,0,0
304.26,0,0,0,0
304.6,0,0,0,0
304.94,0,0,0,0
305.28,0,0,0,0
305.62,0,0,0,0
305.96,0,0,0,0
306.31,0,0,0,0
306.65,0,0,0,0
306.99,0,0,0,0
307.33,0,0,0,0
307.67,0,0,0,0
308.01,0,0,0,0
308.36,0,0,0,0
308.7,0,0,0,0
309.04,0,0,0,0
309.38,0,0,0,0
309.72,0,0,0,0
310.07,0,0,0,0
310.41,0,0,0,0
310.75,0,0,0,0
311.09,0,0,0,0
311.43,0,0,0,0
311.77,0,0,0,0
312.12,0,0,0,0
312.46,0,0,0,0
312.8,0,0,0,0
313.14,0,0,0,0
313.48,0,0,0,0
313.82,0,0,0,0
314.16,0,0,0,0
314.51,0,0,0,0
314.85,0,0,0,0
315.19,0,0,0,0
315.53,0,0,0,0
315.87,0,0,0,0
316.21,0,0,0,0
316.56,0,0,0,0
316.9,0,0,0,0
317.24,0,0,0,0
317.58,0,0,0,0
317.92,0,0,0,0
318.26,0,0,0,0
318.6,0,0,0,0
318.95,0,0,0,0
319.29,0,0,0,0
319.63,0,0,0,0
319.97,0,0,0,0
320.31,0,0,0,0
320.65,0,0,0,0
320.99,0,0,0,0
321.34,0,0,0,0
321.68,0,0,0,0
322.02,0,0,0,0
322.36,0,0,0,0
322.7,0,0,0,0
323.04,0,0,0,0
323.38,0,0,0,0
323.73,0,0,0,0
324.07,0,0,0,0
324.41,0,0,0,0
324.75,0,0,0,0
325.09,0,0,0,0
325.43,0,0,0,0
325.77,0,0,0,0
326.11,0,0,0,0
326.46,0,0,0,0
326.8,0,0,0,0
327.14,0,0,0,0
327.48,0,0,0,0
327.82,0,0,0,0
328.16,0,0,0,0
328.5,0,0,0,0
328.84,0,0,0,0
329.19,0,0,0,0
329.53,0,0,0,0
329.87,0,0,0,0
330.21,0,0,0,0
330.55,0,0,0,0
330.89,0,0,0,0
331.23,0,0,0,0
331.57,0,0,0,0
331.92,0,0,0,0
332.26,0,0,0,0
332.6,0,0,0,0
332.94,0,0,0,0
333.28,0,0,0,0
333.62,0,0,0,0
333.96,0,0,0,0
334.3,0,0,0,0
334.64,0,0,0,0
334.99,0,0,0,0
335.33,0,0,0,0
335.67,0,0,0,0
336.01,0,0,0,0
336.35,0,0,0,0
336.69,0,0,0,0
337.03,0,0,0,0
337.37,0,0,0,0
337.71,0,0,0,0
338.05,0,0,0,0
338.4,0,0,0,0
338.74,0,0,0,0
339.08,0,0,0,0
339.42,0,0,0,0
339.76,0,0,0,0
340.1,0,0,0,0
340.44,0,0,0,0
340.78,0,0,0,0
341.12,0,0,0,0
341.46,0,0,0,0
341.81,0,0,0,0
342.15,0,0,0,0
342.49,0,0,0,0
342.83,0,0,0,0
343.17,0,0,0,0
343.51,0,0,0,0
343.85,0,0,0,0
344.19,0,0,0,0
344.53,0,0,0,0
344.87,0,0,0,0
345.21,0,0,0,0
345.55,0,0,0,0
345.9,0,0,0,0
346.24,0,0,0,0
346.58,0,0,0,0
346.92,0,0,0,0
347.26,0,0,0,0
347.6,0,0,0,0
347.94,0,0,0,0
348.28,0,0,0,0
348.62,0,0,0,0
348.96,0,0,0,0
349.3,0,0,0,0
349.64,0,0,0,0
349.98,0.00280289,0.00246537,-1.28E-04,3.27E-04
350.33,0.0025034,0.00220655,-7.24E-05,1.72E-04
350.67,0.00236233,0.00209916,-1.01E-04,1.05E-04
351.01,0.00223217,0.00191531,-1.15E-04,1.71E-04
351.35,0.00215969,0.00194614,-2.90E-04,1.63E-04
351.69,0.00177293,0.00149057,-2.84E-04,1.23E-04
352.03,0.00184378,0.00151908,-3.53E-04,2.68E-05
352.37,0.00184613,0.00159287,-2.73E-04,8.96E-05
352.71,0.00187257,0.00162363,-3.20E-04,1.79E-04
353.05,0.00205567,0.00181603,-2.35E-04,3.96E-04
353.39,0.00207118,0.00190001,-2.67E-04,3.30E-04
353.73,0.0025556,0.00221371,-5.08E-05,3.68E-04
354.07,0.00249284,0.00215391,-4.63E-05,2.23E-04
354.41,0.00255783,0.00217363,-7.00E-05,1.96E-04
354.75,0.0025158,0.00206865,-9.75E-05,2.00E-04
355.09,0.00298961,0.00251646,-7.48E-05,1.85E-04
355.43,0.00347667,0.00294572,-4.90E-05,7.75E-05
355.78,0.00373592,0.00296952,-2.13E-05,1.03E-04
356.12,0.0029387,0.0023618,-7.75E-05,1.16E-04
356.46,0.00294611,0.00233682,-9.10E-05,2.19E-04
356.8,0.00289144,0.00226605,5.56E-05,3.10E-04
357.14,0.0027057,0.0021816,1.74E-05,3.16E-04
357.48,0.00228303,0.00174037,6.15E-05,1.99E-04
357.82,0.00179656,0.00134214,-9.75E-06,1.48E-04
358.16,0.00174604,0.00147885,-6.80E-06,1.89E-04
358.5,0.0017465,0.00148254,-5.17E-05,1.10E-04
358.84,0.00185335,0.00177644,-4.32E-05,1.24E-04
359.18,0.0016988,0.00163292,-1.58E-04,1.40E-04
359.52,0.00173815,0.00157712,-3.61E-05,1.50E-04
359.86,0.00167971,0.00164193,-1.28E-04,2.10E-04
360.2,0.00167204,0.00166054,-1.70E-04,2.17E-04
360.54,0.00154692,0.00158822,-1.44E-04,1.32E-04
360.88,0.00159608,0.00148064,-1.74E-04,2.41E-04
361.22,0.00144569,0.0012303,-2.19E-04,2.14E-04
361.56,0.00153271,0.00130451,-2.22E-04,1.79E-04
361.9,0.0014956,0.00134042,-2.33E-04,1.63E-04
362.24,0.00150728,0.00125185,-2.81E-04,1.60E-04
362.58,0.00135378,0.00107564,-2.27E-04,1.51E-04
362.93,0.00135708,9.61E-04,-2.11E-04,1.96E-04
363.27,0.00133925,0.00105005,-1.57E-04,1.73E-04
363.61,0.00137429,0.00106134,-1.00E-04,1.47E-04
363.95,0.00122434,9.88E-04,-5.34E-05,1.45E-04
364.29,0.00124222,0.00103078,-1.29E-04,8.18E-05
364.63,0.00119192,0.0010728,-4.95E-05,1.36E-04
364.97,0.00125591,0.00110903,-3.02E-05,1.73E-04
365.31,0.00118986,0.00106018,-7.08E-05,2.05E-04
365.65,0.00101564,9.84E-04,-2.44E-05,1.48E-04
365.99,9.20E-04,9.67E-04,-6.74E-05,1.63E-04
366.33,9.53E-04,0.00101492,-8.81E-05,1.59E-04
366.67,9.78E-04,0.00101455,-3.51E-05,2.42E-04
367.01,0.00105444,0.00107409,-3.57E-05,2.30E-04
367.35,0.00140778,0.00140528,-1.04E-04,3.20E-04
367.69,0.00170459,0.00167933,-1.01E-04,3.05E-04
368.03,0.00189208,0.00178537,-2.13E-04,3.42E-04
368.37,0.00198976,0.00181586,-2.08E-04,3.14E-04
368.71,0.00202664,0.00179998,-1.90E-04,3.31E-04
369.05,0.00218364,0.00196444,-1.65E-04,2.27E-04
369.39,0.00201151,0.00178124,-1.76E-04,1.76E-04
369.73,0.00156147,0.00139855,-1.36E-04,8.03E-05
370.07,0.00133913,0.00121862,-1.41E-04,7.89E-05
370.41,0.00118917,0.00109875,-5.26E-05,6.71E-05
370.75,0.00108396,0.00105344,-4.84E-05,7.76E-05
371.09,0.0010865,0.00106292,-5.35E-05,4.83E-05
371.43,9.57E-04,9.06E-04,-9.68E-05,9.92E-05
371.77,0.00104437,9.55E-04,-1.03E-04,1.54E-04
372.11,0.00102107,9.51E-04,-7.42E-05,1.71E-04
372.45,0.00117894,0.00109936,1.23E-06,1.92E-04
372.79,0.00117923,0.00107644,-4.43E-05,2.02E-04
373.13,0.00114308,0.00100305,5.41E-06,2.37E-04
373.47,0.0011645,0.00102662,1.76E-05,2.69E-04
373.81,0.00118989,0.00112053,5.37E-05,2.94E-04
374.15,0.00121135,0.00118553,7.13E-05,2.80E-04
374.49,0.00149879,0.00145879,3.54E-05,3.09E-04
374.83,0.00127172,0.00124748,-4.29E-05,2.75E-04
375.17,0.00130699,0.00127567,-5.15E-05,3.02E-04
375.51,0.00134773,0.00128701,-5.72E-05,2.95E-04
375.85,0.00125903,0.00115468,-5.40E-05,2.89E-04
376.19,0.00113875,9.88E-04,-6.88E-05,2.94E-04
376.53,9.63E-04,8.17E-04,-5.89E-05,2.57E-04
376.87,7.84E-04,6.80E-04,2.74E-05,2.51E-04
377.21,8.67E-04,7.65E-04,7.78E-05,3.40E-04
377.55,9.00E-04,8.28E-04,9.13E-05,3.51E-04
377.89,9.00E-04,8.53E-04,7.11E-05,3.64E-04
378.23,8.68E-04,8.37E-04,7.55E-05,4.00E-04
378.57,9.00E-04,8.91E-04,5.61E-05,3.69E-04
378.91,0.0010655,0.00109211,1.64E-05,3.48E-04
379.25,0.00104288,0.00103277,-7.48E-05,3.42E-04
379.59,9.27E-04,9.06E-04,-5.73E-05,2.96E-04
379.93,9.06E-04,8.85E-04,-9.32E-05,3.31E-04
380.27,8.97E-04,8.86E-04,-1.16E-04,3.03E-04
380.61,9.81E-04,9.68E-04,-1.64E-04,2.55E-04
380.95,0.00118436,0.00116539,-1.40E-04,2.95E-04
381.29,0.00104876,9.90E-04,-1.00E-04,3.05E-04
381.63,0.001071,9.63E-04,-3.15E-05,3.06E-04
381.97,0.00105289,9.51E-04,-7.01E-05,2.88E-04
382.31,0.00110743,9.28E-04,-3.75E-05,2.32E-04
382.65,0.00109581,9.00E-04,-4.65E-05,2.38E-04
382.99,0.00105749,8.85E-04,-2.79E-05,2.12E-04
383.33,0.00103833,8.16E-04,-3.74E-05,1.88E-04
383.67,9.92E-04,8.05E-04,-2.99E-05,1.99E-04
384.01,9.52E-04,8.17E-04,-6.53E-05,2.12E-04
384.35,9.95E-04,8.25E-04,-4.74E-05,2.13E-04
384.69,9.79E-04,9.01E-04,-3.60E-05,2.20E-04
385.03,0.00122628,0.00117158,-6.11E-06,2.45E-04
385.37,0.00123346,0.00117468,-1.89E-06,2.56E-04
385.71,0.00106165,0.00103495,8.19E-06,2.31E-04
386.05,0.00136363,0.00128871,3.97E-05,2.25E-04
386.39,0.00136219,0.00128193,5.66E-05,2.14E-04
386.73,0.00135821,0.00130246,4.50E-05,1.66E-04
387.07,0.00125366,0.00114943,1.07E-05,1.58E-04
387.41,0.00100839,8.83E-04,1.15E-05,1.49E-04
387.75,9.08E-04,8.05E-04,4.39E-05,1.85E-04
388.09,8.82E-04,7.76E-04,-3.85E-07,1.95E-04
388.43,6.17E-04,5.42E-04,-5.62E-05,2.39E-04
388.77,5.34E-04,4.96E-04,-8.33E-05,2.39E-04
389.11,5.18E-04,4.77E-04,-1.02E-04,2.57E-04
389.45,5.47E-04,5.48E-04,-9.37E-05,2.82E-04
389.79,5.40E-04,6.38E-04,-1.00E-04,3.16E-04
390.13,5.49E-04,6.60E-04,-9.36E-05,3.41E-04
390.47,5.29E-04,6.82E-04,-4.62E-05,4.09E-04
390.81,8.73E-04,0.00100203,-1.29E-05,4.17E-04
391.15,9.05E-04,0.0010289,-2.30E-05,4.53E-04
391.49,8.90E-04,0.00107762,2.56E-05,4.78E-04
391.83,0.00101904,0.0011447,4.51E-05,4.46E-04
392.17,9.83E-04,0.00101157,3.54E-05,4.30E-04
392.5,0.00100621,9.78E-04,9.96E-06,3.75E-04
392.84,0.00104843,0.00100534,-1.33E-05,3.39E-04
393.18,7.48E-04,7.43E-04,-3.57E-05,2.90E-04
393.52,7.77E-04,7.40E-04,-3.95E-05,2.45E-04
393.86,7.85E-04,7.00E-04,-7.11E-05,2.46E-04
394.2,6.44E-04,6.41E-04,-5.98E-05,2.92E-04
394.54,6.77E-04,7.34E-04,-1.66E-05,3.11E-04
394.88,7.12E-04,8.33E-04,-1.66E-06,3.60E-04
395.22,7.12E-04,8.51E-04,-1.14E-06,3.74E-04
395.56,6.94E-04,8.08E-04,-1.31E-05,3.64E-04
395.9,8.02E-04,9.45E-04,3.69E-05,3.60E-04
396.24,8.23E-04,9.99E-04,4.73E-05,3.85E-04
396.58,7.87E-04,9.43E-04,8.05E-06,3.88E-04
396.92,7.15E-04,8.54E-04,-1.09E-05,3.72E-04
397.26,6.53E-04,7.83E-04,-1.37E-05,3.56E-04
397.6,6.03E-04,7.51E-04,-2.72E-06,3.85E-04
397.94,5.99E-04,8.20E-04,1.22E-05,4.20E-04
398.28,5.26E-04,7.04E-04,-3.18E-05,4.43E-04
398.62,4.78E-04,6.33E-04,-3.09E-05,4.45E-04
398.96,5.25E-04,6.76E-04,-2.35E-05,4.75E-04
399.3,6.18E-04,8.26E-04,-3.56E-05,5.23E-04
399.63,6.96E-04,0.00100372,-3.65E-05,5.83E-04
399.97,7.15E-04,0.00102833,-3.67E-05,5.77E-04
400.31,6.90E-04,0.00101747,-3.11E-05,6.25E-04
400.65,6.23E-04,0.00102047,-2.21E-05,6.61E-04
400.99,6.33E-04,0.00107921,-1.85E-05,7.09E-04
401.33,7.10E-04,0.00117777,1.19E-05,6.96E-04
401.67,6.28E-04,0.00105926,2.77E-05,7.12E-04
402.01,5.50E-04,9.20E-04,1.13E-05,7.04E-04
402.35,5.54E-04,9.50E-04,-1.26E-05,7.21E-04
402.69,5.84E-04,9.59E-04,-4.41E-06,7.20E-04
403.03,6.35E-04,0.00109504,1.12E-05,7.62E-04
403.37,6.54E-04,0.00108166,1.02E-05,7.41E-04
403.71,8.27E-04,0.00132535,1.26E-05,7.88E-04
404.05,8.44E-04,0.00136568,9.99E-06,8.05E-04
404.39,9.01E-04,0.00143336,3.77E-05,8.11E-04
404.72,0.00103291,0.00162224,7.44E-05,8.32E-04
405.06,9.82E-04,0.00159762,7.09E-05,8.36E-04
405.4,9.22E-04,0.00147836,7.54E-05,8.20E-04
405.74,8.85E-04,0.00150461,9.58E-05,8.04E-04
406.08,6.09E-04,0.00121363,9.86E-05,7.87E-04
406.42,6.64E-04,0.00118473,7.80E-05,7.44E-04
406.76,6.35E-04,0.00114172,7.90E-05,7.52E-04
407.1,4.78E-04,8.97E-04,6.14E-05,7.38E-04
407.44,5.54E-04,8.63E-04,4.12E-05,7.36E-04
407.78,6.05E-04,8.43E-04,1.34E-05,7.16E-04
408.12,7.86E-04,9.89E-04,-4.60E-05,7.87E-04
408.46,8.11E-04,9.37E-04,-9.14E-05,7.68E-04
408.8,7.76E-04,0.00100272,-5.81E-05,7.86E-04
409.13,7.71E-04,0.00105332,-7.11E-05,7.89E-04
409.47,8.97E-04,0.00121341,-6.22E-05,7.88E-04
409.81,8.48E-04,0.00122445,-5.18E-05,7.95E-04
410.15,8.08E-04,0.00130007,-3.85E-05,8.31E-04
410.49,6.86E-04,0.00118346,-3.53E-06,8.26E-04
410.83,6.34E-04,0.00119258,1.80E-05,8.87E-04
411.17,6.26E-04,0.00121571,-8.98E-06,9.11E-04
411.51,6.70E-04,0.00123166,-7.88E-06,9.38E-04
411.85,5.84E-04,0.00112879,6.18E-06,9.71E-04
412.19,7.44E-04,0.00133131,2.19E-05,9.95E-04
412.53,7.66E-04,0.00123807,2.67E-05,9.74E-04
412.87,6.77E-04,0.00118964,3.99E-05,9.76E-04
413.2,6.70E-04,0.00117208,4.00E-05,9.53E-04
413.54,6.51E-04,0.00112033,4.07E-05,9.37E-04
413.88,6.21E-04,0.00106813,3.60E-05,9.36E-04
414.22,5.92E-04,0.00108685,2.38E-05,9.54E-04
414.56,4.25E-04,9.80E-04,3.13E-05,9.56E-04
414.9,3.24E-04,9.75E-04,-7.93E-07,9.85E-04
415.24,3.64E-04,0.00105088,2.55E-05,9.95E-04
415.58,3.78E-04,0.00108881,2.43E-05,9.91E-04
